isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Ali Cansun,Leventspor,Türkiye,0-500,Forvet,30-40,13,184,0-100,9135,91
Eser Yaðmur,Kartalspor,Türkiye,0-500,Forvet,30-40,11,207,0-100,10971,113
Onur Okan Topaloðlu,Büyükçekmece Bld.,Türkiye,0-500,Kaleci,30-40,13,190,0-100,16958,189
Serdar Özkan,Bursaspor,Türkiye,0-500,Ortasaha,30-40,18,403,0-100,24466,269
Mohamed Sarr,OFI,Senegal,500-1000,Defans,30-40,8,100,0-100,8369,93
Baykal Yýlmaztaþ,Büyükçekmece Bld.,Türkiye,0-500,Defans,30-40,10,126,0-100,9547,107
Cafercan Aksu,Adýyaman 1954 SK,Türkiye,0-500,Ortasaha,30-40,18,422,100-200,30963,347
Faruk Atalay,Bucaspor,Türkiye,0-500,Ortasaha,30-40,9,152,0-100,8579,90
Ýlhan Çelikay,Bayrampaþa,Türkiye,0-500,Defans,30-40,9,157,0-100,12181,137
Ýlker Erbay,Büyükçekmece Bld.,Türkiye,0-500,Defans,30-40,15,259,0-100,20173,227
Ýrfan Baþaran,Kocaelispor,Türkiye,0-500,Ortasaha,30-40,13,296,0-100,18558,209
Kemal Özcan,Pozantýspor,Türkiye,0-500,Ortasaha,30-40,3,29,0-100,627,6
Uður Tülümen,Sivas Belediyespor,Türkiye,0-500,Forvet,30-40,13,267,0-100,16878,178
Sabri Sarýoðlu,Göztepe,Türkiye,500-1000,Defans,30-40,16,551,0-100,39483,419
Sinan Turan,Kozan Spor FK,Türkiye,0-500,Ortasaha,30-40,15,293,0-100,19797,229
Bekir Küçükertaþ,Kepez Belediyespor,Türkiye,0-500,Kaleci,30-40,12,160,0-100,13934,155
Can Arat,Sarýyer,Türkiye,0-500,Defans,30-40,15,197,0-100,15554,174
Dündar Denizhan,Yataðanspor,Türkiye,0-500,Ortasaha,30-40,15,360,0-100,23775,276
Erman Yýldýrým,Torbalýspor,Türkiye,0-500,Defans,30-40,12,196,0-100,14848,178
Fahri Tatan,Þanlýurfaspor,Türkiye,0-500,Ortasaha,30-40,16,394,0-100,26877,305
Hüsnü Zeybekoðlu,Tavas Birlikspor,Türkiye,0-500,Ortasaha,30-40,15,326,0-100,19820,233
Mithat Yaþar,Turgutluspor,Türkiye,0-500,Ortasaha,30-40,16,414,0-100,27737,314
Serhat Akýn,Berliner AK 07,Türkiye,0-500,Forvet,30-40,14,274,0-100,17217,191
Recep Biler,Giresunspor,Türkiye,0-500,Kaleci,30-40,13,183,0-100,15825,176
Semih Þentürk,Eskiþehirspor,Türkiye,0-500,Forvet,30-40,18,438,100-200,21159,218
Serkan Sütlü,Beylikdüzüspor,Türkiye,0-500,Forvet,30-40,11,172,0-100,9753,104
Serkan Silan,Vefa,Türkiye,0-500,Forvet,30-40,17,411,0-100,29993,331
Süleyman Aydýn,Antalya Kemerspor,Türkiye,0-500,Defans,30-40,7,102,0-100,8357,95
Tolga Altun,Batman Petrolspor,Türkiye,0-500,Ortasaha,30-40,8,155,0-100,11657,134
Tuncay Þanlý,Pune City,Türkiye,1000-10000,Forvet,30-40,15,557,100-200,39401,443
Ulaç Çaðlayan,Dersimspor,Türkiye,0-500,Defans,30-40,13,228,0-100,18235,204
Volkan Demirel,Fenerbahçe,Türkiye,500-1000,Kaleci,30-40,18,617,0-100,54660,606
Ali Þen Kandil,Faroz Yalýspor,Türkiye,0-500,Ortasaha,30-40,11,157,0-100,9377,109
Cemre Atmaca,Çankaya FK,Türkiye,0-500,Forvet,30-40,18,397,100-200,26219,291
Ergin Keleþ,Altay,Türkiye,0-500,Forvet,30-40,16,363,0-100,22717,242
Feridun Sungur,Haçka Spor,Türkiye,0-500,Defans,30-40,16,245,0-100,18953,209
Mustafa Yalçýnkaya,Turgutluspor,Türkiye,0-500,Defans,30-40,11,195,0-100,14089,149
Osman Kurtuldu,52 Orduspor FK,Türkiye,0-500,Kaleci,30-40,16,222,0-100,19820,218
Tolga Zengin,Beþiktaþ,Türkiye,0-500,Kaleci,30-40,15,284,0-100,25006,281
Ali Cemal Boztepe,Gaziosmanpaþa,Türkiye,0-500,Ortasaha,30-40,16,230,0-100,14237,165
Erdal Güneþ,Gaziantep FK,Türkiye,0-500,Ortasaha,30-40,17,389,0-100,22211,241
Ýbrahim Toraman,Sivasspor,Türkiye,500-1000,Defans,30-40,15,467,0-100,39358,443
Ýlhan Özbay,Yozgatspor 1959 FK,Türkiye,0-500,Ortasaha,30-40,16,354,0-100,26322,296
Kaya Tarakçý,Bodrumspor,Türkiye,0-500,Kaleci,30-40,19,274,0-100,24380,270
Kemal Aslan,Denizlispor,Türkiye,0-500,Ortasaha,30-40,13,228,0-100,13852,155
Muhammet Kaya,Leventspor,Türkiye,0-500,Ortasaha,30-40,11,216,0-100,16163,186
Onur Okan,Diyarbekirspor,Türkiye,0-500,Ortasaha,30-40,19,393,0-100,25897,285
Ömer Közen,Sarýyer,Türkiye,0-500,Ortasaha,30-40,10,161,0-100,9699,112
Ömer Yalçýn,Mardin Fosfat Spor,Türkiye,0-500,Forvet,30-40,18,415,100-200,25702,283
Engin Akbaþ,Zaðnosspor,Türkiye,0-500,Defans,30-40,10,184,0-100,14265,165
Gökhan Gönül,Fenerbahçe,Türkiye,0-500,Defans,30-40,17,631,0-100,53456,602
Kaan Demircan,Devrek Belediyespor,Türkiye,0-500,Ortasaha,30-40,15,264,0-100,18471,211
Korhan Öztürk,Sökespor,Türkiye,0-500,Ortasaha,30-40,15,309,0-100,19535,225
Okan Koç,1922 Konyaspor,Türkiye,0-500,Ortasaha,30-40,12,230,0-100,13462,152
Orhan Þam,Bodrumspor,Türkiye,0-500,Defans,30-40,17,313,0-100,26144,294
Serkan Balcý,Sarýyer,Türkiye,0-500,Defans,30-40,19,634,0-100,49485,559
Serkan Çevik,Kuþadasýspor,Türkiye,0-500,Forvet,30-40,7,61,0-100,4263,48
Souleymane Youla,Indy Eleven,Gine,0-500,Forvet,30-40,15,376,100-200,25816,307
Osman Fýrat,Tuzlaspor,Türkiye,0-500,Defans,30-40,15,327,0-100,26529,297
Sancak Kaplan,Kasýmpaþa,Türkiye,500-1000,Defans,30-40,12,294,0-100,24157,270
Adem Koçak,Sarýyer,Türkiye,500-1000,Ortasaha,30-40,20,561,0-100,40495,452
Çaðlar Ayan,Yahþihanspor,Türkiye,0-500,Forvet,30-40,13,213,0-100,17304,190
Emre Güngör,Bandýrmaspor,Türkiye,0-500,Defans,30-40,15,338,0-100,26965,303
Hüseyin Kartal,Eðirdirspor,Türkiye,0-500,Ortasaha,30-40,11,215,0-100,12202,127
Musa Ballý,Gölbaþý Belediye,Türkiye,0-500,Ortasaha,30-40,12,247,0-100,18711,219
Necati Demirhan,Kazan Belediyespor,Türkiye,0-500,Ortasaha,30-40,14,298,0-100,21519,253
Onur Acar,Ödemiþ Spor,Türkiye,0-500,Ortasaha,30-40,16,274,0-100,18282,208
Sunay Zafer,Þanlýurfaspor,Türkiye,0-500,Kaleci,30-40,9,122,0-100,10777,119
Fatih Yiðen,Serinhisarspor,Türkiye,0-500,Ortasaha,30-40,15,365,0-100,27347,298
Soner Þahin,Elazýðspor,Türkiye,0-500,Kaleci,30-40,16,332,0-100,29605,327
